student_ref,first_name,last_name,date_of_birth,fee_status,tuition_fee_amount,bursary_flag,payment_status,enrolment_status,academic_year
FIN04472,Niamh,Toure,2000-05-04,H,9250,N,Paid,Enrolled,2025/26
FIN04473,Adam,Diop,1998-03-22,H,9250,N,Paid,Enrolled,2025/26
FIN04474,Kate,Turner,1997-11-26,O,15000,Y,Paid,Enrolled,2025/26
FIN04475,Callum,Diop,2000-01-24,O,21000,Y,Paid,Enrolled,2025/26
FIN04476,Rory,Ahmed,1993-12-29,H,9250,N,Paid,Inactive,2025/26
FIN04477,Leon,Campbell,2006-09-15,H,9250,N,Paid,Enrolled,2025/26
FIN04478,Leah,Walsh,2006-11-23,O,21000,N,Partial,Enrolled,2025/26
FIN04479,Rhys,Johnson,1999-04-18,O,9250,Y,Paid,Inactive,2025/26
FIN04480,Amelia,Howard,1992-04-26,H,9250,N,Paid,Suspended,2025/26
FIN04481,Sebastian,Doherty,1999-05-22,H,9250,N,Paid,Inactive,2025/26
FIN04482,Harriet,Mahmood,2003-05-21,O,18000,N,Paid,Enrolled,2025/26
FIN04483,Amber,Lewis,1996-11-04,H,9250,N,Paid,Enrolled,2025/26
FIN04484,Lily,Costa,2003-08-28,H,9250,N,Partial,Enrolled,2025/26
FIN04485,Finn,Hansen,1999-03-17,O,9250,N,Paid,Enrolled,2025/26
FIN04486,Kieran,Svensson,1994-11-21,O,18000,N,Paid,Inactive,2025/26
FIN04487,Grace,Johnson,2000-12-11,O,15000,N,Paid,Inactive,2025/26
FIN04488,Georgia,Jama,2002-07-29,H,9250,N,Paid,Enrolled,2025/26
FIN04489,Harriet,Martin,2001-05-17,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04490,Callum,Ng,1991-08-05,O,24000,N,Paid,Enrolled,2025/26
FIN04491,Leon,Hussein,1991-12-28,O,15000,N,Partial,Enrolled,2025/26
FIN04492,Nathan,Wong,2002-11-15,H,9250,Y,Paid,Enrolled,2025/26
FIN04493,Theo,Berg,1994-09-27,H,9250,N,Paid,Enrolled,2025/26
FIN04494,Zoe,Asante,2001-10-15,O,24000,N,Partial,Enrolled,2025/26
FIN04495,Chloe,McCarthy,2005-06-21,O,21000,N,Paid,Inactive,2025/26
FIN04496,Ali,Ward,2005-12-08,H,9250,N,Partial,Enrolled,2025/26
FIN04497,Alexander,Osei,2003-03-27,H,9250,N,Outstanding,Enrolled,2025/26
FIN04498,Imogen,Clarke,2004-07-16,H,9250,N,Outstanding,Inactive,2025/26
FIN04499,Owen,Doherty,2003-01-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN04500,Sebastian,Svensson,2003-02-16,O,18000,N,Paid,Enrolled,2025/26
FIN04501,Ryan,Begum,1991-03-15,H,9250,N,Paid,Enrolled,2025/26
FIN04502,Luke,O'Brien,1998-10-16,H,9250,N,Paid,Enrolled,2025/26
FIN04503,Alexander,Yusuf,2001-11-24,H,9250,N,Paid,Enrolled,2025/26
FIN04504,Dylan,Chan,1993-09-27,O,24000,N,Paid,Inactive,2025/26
FIN04505,Leila,Harris,2005-08-25,H,9250,N,Outstanding,Enrolled,2025/26
FIN04506,Mason,Kumar,1991-01-23,O,24000,N,Paid,Enrolled,2025/26
FIN04507,William,Ricci,1992-07-21,H,9250,N,Paid,Enrolled,2025/26
FIN04508,Charlotte,Fontana,2007-02-16,H,9250,N,Paid,Enrolled,2025/26
FIN04509,Sophia,Hussain,1994-08-25,H,9250,N,Paid,Deferred,2025/26
FIN04510,Cara,O'Sullivan,2004-06-03,O,18000,N,Paid,Enrolled,2025/26
FIN04511,James,Svensson,1990-04-17,O,21000,N,Partial,Inactive,2025/26
FIN04512,Maya,Jama,2001-03-16,H,9250,N,Paid,Inactive,2025/26
FIN04513,Noah,Ndiaye,1991-09-22,O,21000,N,Partial,Enrolled,2025/26
FIN04514,Yusuf,Kim,1999-07-22,O,24000,N,Paid,Enrolled,2025/26
FIN04515,Jude,Svensson,2001-01-27,O,18000,Y,Paid,Enrolled,2025/26
FIN04516,Priya,Nielsen,1997-10-22,H,9250,N,Partial,Enrolled,2025/26
FIN04517,Cara,Evans,1994-03-25,H,9250,N,Partial,Enrolled,2025/26
FIN04518,Phoebe,Ward,2007-11-03,O,15000,Y,Outstanding,Enrolled,2025/26
FIN04519,Isobel,Davies,2005-04-29,O,21000,N,Paid,Enrolled,2025/26
FIN04520,Zoe,McCarthy,2005-08-08,H,9250,N,Partial,Enrolled,2025/26
FIN04521,Bilal,Stewart,1993-11-07,H,9250,N,Paid,Enrolled,2025/26
FIN04522,Reuben,Chen,1992-07-30,H,9250,N,Partial,Enrolled,2025/26
FIN04523,Max,Romano,1998-09-22,H,9250,N,Outstanding,Enrolled,2025/26
FIN04524,Adam,Thompson,1994-12-23,H,9250,N,Partial,Enrolled,2025/26
FIN04525,Alice,Morgan,2007-12-31,H,9250,N,Paid,Enrolled,2025/26
FIN04526,Mia,Yusuf,2005-07-02,H,9250,N,Paid,Enrolled,2025/26
FIN04527,Cian,Osei,1994-05-13,H,9250,N,Paid,Enrolled,2025/26
FIN04528,Roisin,Lewis,1999-06-16,H,9250,N,Paid,Enrolled,2025/26
FIN04529,Claudia,Osei,1992-09-14,H,9250,Y,Paid,Enrolled,2025/26
FIN04530,Niall,O'Sullivan,2007-12-30,O,15000,N,Paid,Enrolled,2025/26
FIN04531,George,Begum,1995-06-07,O,18000,Y,Paid,Enrolled,2025/26
FIN04532,Nadia,Wood,1991-09-22,H,9250,N,Partial,Enrolled,2025/26
FIN04533,Nadia,Stewart,2000-07-18,H,9250,N,Outstanding,Enrolled,2025/26
FIN04534,Max,Begum,2003-10-09,H,9250,N,Partial,Enrolled,2025/26
FIN04535,Joseph,Davies,2001-10-26,O,24000,N,Paid,Enrolled,2025/26
FIN04536,Kai,Wong,1997-05-22,H,9250,Y,Paid,Enrolled,2025/26
FIN04537,Charlotte,Yusuf,1996-01-03,H,9250,N,Paid,Enrolled,2025/26
FIN04538,Aiden,Murphy,2002-12-22,H,9250,N,Partial,Enrolled,2025/26
FIN04539,Kai,Hansen,1990-10-28,O,15000,Y,Partial,Enrolled,2025/26
FIN04540,Priya,Price,2006-12-02,H,9250,N,Paid,Enrolled,2025/26
FIN04541,Amelia,Hall,1991-01-07,H,9250,Y,Paid,Enrolled,2025/26
FIN04542,Amelia,Lee,1996-12-18,H,9250,N,Partial,Enrolled,2025/26
FIN04543,Rebecca,Richardson,2005-06-17,O,18000,Y,Paid,Suspended,2025/26
FIN04544,Niamh,Berg,2003-07-04,H,9250,N,Paid,Enrolled,2025/26
FIN04545,Oscar,Hussein,1991-04-07,H,9250,N,Paid,Enrolled,2025/26
FIN04546,Cameron,Owusu,1995-06-11,O,18000,Y,Paid,Enrolled,2025/26
FIN04547,Yasmin,Holm,2000-09-06,H,9250,N,Outstanding,Inactive,2025/26
FIN04548,Abigail,Murphy,2005-01-31,H,9250,N,Outstanding,Enrolled,2025/26
FIN04549,Zoe,O'Brien,1993-08-31,H,9250,N,Paid,Deferred,2025/26
FIN04550,Abigail,Singh,2003-06-28,H,21000,N,Paid,Enrolled,2025/26
FIN04551,Imogen,James,1998-01-05,H,9250,N,Paid,Enrolled,2025/26
FIN04552,Theo,Ricci,2006-10-25,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04553,Ibrahim,Campbell,1996-08-20,H,9250,N,Paid,Enrolled,2025/26
FIN04554,Kieran,Stewart,1998-05-02,O,24000,N,Outstanding,Deferred,2025/26
FIN04555,Joel,Robinson,2001-07-28,O,18000,N,Paid,Enrolled,2025/26
FIN04556,Zoe,Conti,2007-06-02,H,9250,N,Outstanding,Enrolled,2025/26
FIN04557,Ali,Jama,1997-06-20,O,9250,N,Partial,Enrolled,2025/26
FIN04558,Roisin,Gupta,2001-04-17,H,9250,N,Outstanding,Enrolled,2025/26
FIN04559,Rebecca,O'Sullivan,1995-01-17,O,24000,N,Outstanding,Enrolled,2025/26
FIN04560,Erin,Mensah,1997-08-31,O,21000,N,Paid,Enrolled,2025/26
FIN04561,Jude,Bah,2005-08-02,H,9250,N,Partial,Enrolled,2025/26
FIN04562,Yasmin,Owusu,1999-06-12,O,21000,N,Partial,Enrolled,2025/26
FIN04563,Finn,Larsen,1995-04-05,H,9250,N,Outstanding,Inactive,2025/26
FIN04564,Reuben,Svensson,2005-04-03,O,15000,N,Paid,Enrolled,2025/26
FIN04565,Madeleine,Hansen,2003-05-29,H,9250,N,Paid,Enrolled,2025/26
FIN04566,Zoe,Hussain,2003-02-22,H,9250,N,Partial,Enrolled,2025/26
FIN04567,Alice,Turner,2002-04-18,H,9250,N,Paid,Enrolled,2025/26
FIN04568,Luke,Cox,2007-01-05,H,9250,N,Partial,Enrolled,2025/26
FIN04569,Freya,Nielsen,1992-10-10,H,9250,Y,Paid,Inactive,2025/26
FIN04570,Theo,Davies,1993-06-08,H,9250,N,Paid,Enrolled,2025/26
FIN04571,Imogen,Mohamed,2000-10-22,H,9250,N,Paid,Enrolled,2025/26
FIN04572,Anna,Byrne,1996-03-31,O,18000,N,Partial,Enrolled,2025/26
FIN04573,Felix,Warsame,2006-06-06,H,9250,N,Partial,Enrolled,2025/26
FIN04574,Alexander,Islam,1994-11-20,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04575,Lucas,Eriksson,2003-07-17,O,24000,Y,Paid,Enrolled,2025/26
FIN04576,Mason,Nielsen,2004-03-06,O,24000,N,Paid,Enrolled,2025/26
FIN04577,Ibrahim,Richardson,1993-06-16,H,9250,N,Paid,Enrolled,2025/26
FIN04578,Oliver,Toure,1993-04-06,H,9250,Y,Paid,Enrolled,2025/26
FIN04579,Georgia,Flynn,1997-03-24,H,9250,N,Paid,Enrolled,2025/26
FIN04580,Erin,Campbell,2007-06-07,H,9250,N,Paid,Enrolled,2025/26
FIN04581,Ali,Ross,1997-09-02,O,24000,N,Paid,Enrolled,2025/26
FIN04582,Millie,Yip,1992-05-17,H,9250,N,Partial,Inactive,2025/26
FIN04583,Aiden,Price,1999-10-28,H,9250,N,Partial,Enrolled,2025/26
FIN04584,Ruth,Ricci,1996-02-09,H,9250,N,Paid,Enrolled,2025/26
FIN04585,Priya,Morgan,1991-07-26,H,9250,N,Paid,Enrolled,2025/26
FIN04586,Omar,Jama,2003-06-18,H,9250,N,Paid,Enrolled,2025/26
FIN04587,Dominic,Flynn,2005-09-18,H,9250,N,Paid,Enrolled,2025/26
FIN04588,Liam,Begum,2006-08-05,H,9250,N,Paid,Deferred,2025/26
FIN04589,Mia,Taylor,1994-02-18,H,9250,N,Paid,Inactive,2025/26
FIN04590,Max,Ward,1997-03-28,O,15000,N,Paid,Enrolled,2025/26
FIN04591,Freya,Sharma,2002-07-05,H,9250,Y,Outstanding,Inactive,2025/26
FIN04592,Daniel,Ng,1991-07-01,O,24000,N,Paid,Enrolled,2025/26
FIN04593,Poppy,Mitchell,2004-02-12,H,9250,N,Paid,Enrolled,2025/26
FIN04594,Laura,Harris,2006-07-30,H,9250,N,Paid,Enrolled,2025/26
FIN04595,Liam,Thomas,1995-09-13,O,21000,N,Paid,Enrolled,2025/26
FIN04596,Harriet,Shah,2001-01-26,O,15000,N,Paid,Enrolled,2025/26
FIN04597,Freya,Jones,1999-06-11,H,9250,N,Paid,Inactive,2025/26
FIN04598,Arjun,Harris,1994-01-10,H,9250,N,Paid,Enrolled,2025/26
FIN04599,Fatima,O'Brien,1992-05-20,H,9250,N,Paid,Enrolled,2025/26
FIN04600,Sebastian,Brooks,2005-10-09,H,9250,N,Paid,Enrolled,2025/26
FIN04601,Joel,Robinson,1994-02-01,H,9250,N,Paid,Enrolled,2025/26
FIN04602,Joel,Ross,2005-11-07,H,9250,N,Partial,Suspended,2025/26
FIN04603,Liam,Jackson,1994-03-20,H,9250,N,Paid,Enrolled,2025/26
FIN04604,Nadia,Martin,1999-02-07,O,21000,N,Partial,Enrolled,2025/26
FIN04605,Isla,Jama,1990-11-02,O,15000,N,Paid,Inactive,2025/26
FIN04606,Siobhan,Stewart,1992-09-22,O,24000,N,Paid,Enrolled,2025/26
FIN04607,Edward,O'Sullivan,2005-08-13,O,18000,N,Paid,Enrolled,2025/26
FIN04608,Nadia,Costa,2002-02-27,O,24000,N,Paid,Enrolled,2025/26
FIN04609,Natalie,Price,1998-11-12,O,21000,N,Outstanding,Enrolled,2025/26
FIN04610,Rhys,Diallo,1995-03-26,O,21000,Y,Paid,Enrolled,2025/26
FIN04611,Joseph,Andersson,2002-10-26,H,9250,Y,Paid,Enrolled,2025/26
FIN04612,Amber,Rahman,2003-06-02,O,21000,N,Partial,Enrolled,2025/26
FIN04613,Leon,Cooper,1995-11-10,H,9250,N,Paid,Enrolled,2025/26
FIN04614,Cameron,Yip,1998-01-11,O,15000,N,Paid,Enrolled,2025/26
FIN04615,Bilal,Yip,1995-10-17,H,9250,N,Partial,Enrolled,2025/26
FIN04616,Omar,White,1992-03-11,H,9250,N,Paid,Enrolled,2025/26
FIN04617,Madeleine,Smith,1994-08-31,O,15000,Y,Outstanding,Inactive,2025/26
FIN04618,Muhammad,Chan,2006-03-23,O,21000,N,Paid,Enrolled,2025/26
FIN04619,Felix,Ryan,2007-04-30,H,9250,N,Paid,Enrolled,2025/26
FIN04620,Elliot,Osei,2002-06-12,O,18000,N,Outstanding,Enrolled,2025/26
FIN04621,Zac,Conti,1995-08-24,H,9250,N,Outstanding,Enrolled,2025/26
FIN04622,Lucas,Singh,1997-02-20,H,9250,N,Partial,Enrolled,2025/26
FIN04623,Matthew,Ward,1995-03-30,H,9250,N,Paid,Inactive,2025/26
FIN04624,Kieran,Cheung,1992-02-08,H,9250,N,Paid,Enrolled,2025/26
FIN04625,Ellis,Mahmood,1997-01-15,H,9250,N,Partial,Inactive,2025/26
FIN04626,Cerys,Cheung,1998-09-27,O,15000,N,Paid,Enrolled,2025/26
FIN04627,Freddie,Eriksson,1994-11-18,O,18000,N,Outstanding,Enrolled,2025/26
FIN04628,Sophia,Chan,2007-05-28,H,9250,N,Partial,Enrolled,2025/26
FIN04629,Daniel,Chen,1991-03-08,O,18000,N,Partial,Enrolled,2025/26
FIN04630,Kieran,Flynn,2003-07-12,H,9250,Y,Paid,Enrolled,2025/26
FIN04631,Luke,Davies,1995-06-09,H,9250,N,Paid,Enrolled,2025/26
FIN04632,Callum,Omar,1990-03-13,H,9250,Y,Partial,Enrolled,2025/26
FIN04633,Priya,Kaur,2007-04-24,H,9250,N,Outstanding,Enrolled,2025/26
FIN04634,Toby,Watson,2007-12-19,O,18000,N,Outstanding,Inactive,2025/26
FIN04635,Theo,Morgan,2000-07-19,H,9250,N,Partial,Enrolled,2025/26
FIN04636,Megan,Hussain,2003-05-30,O,18000,N,Paid,Suspended,2025/26
FIN04637,Molly,Kim,1998-12-21,H,9250,Y,Paid,Enrolled,2025/26
FIN04638,Rohan,Harris,2001-09-10,H,9250,N,Outstanding,Enrolled,2025/26
FIN04639,Yasmin,Fontana,2004-11-01,H,9250,N,Paid,Enrolled,2025/26
FIN04640,Leah,Ho,2006-07-12,H,9250,N,Paid,Enrolled,2025/26
FIN04641,Madeleine,Shah,1997-07-29,H,9250,N,Partial,Enrolled,2025/26
FIN04642,Rory,Byrne,2007-05-22,H,9250,N,Partial,Enrolled,2025/26
FIN04643,Matthew,Ryan,2003-12-12,O,15000,N,Paid,Deferred,2025/26
FIN04644,Samuel,Thomas,1991-01-13,O,15000,N,Paid,Enrolled,2025/26
FIN04645,Isla,Begum,2004-08-04,H,9250,N,Partial,Enrolled,2025/26
FIN04646,Ethan,Williams,2003-03-03,O,24000,N,Outstanding,Enrolled,2025/26
FIN04647,Imogen,Brady,1999-08-13,H,9250,N,Paid,Suspended,2025/26
FIN04648,Liam,Toure,2005-08-09,H,9250,Y,Partial,Enrolled,2025/26
FIN04649,Muhammad,Thomas,2004-11-02,O,15000,N,Paid,Inactive,2025/26
FIN04650,Rebecca,Lewis,1996-11-10,O,15000,N,Paid,Enrolled,2025/26
FIN04651,Matthew,Howard,1998-02-16,H,9250,N,Outstanding,Enrolled,2025/26
FIN04652,Megan,Roberts,2007-09-06,O,24000,N,Paid,Deferred,2025/26
FIN04653,Sophie,Ali,2002-12-29,H,9250,Y,Partial,Enrolled,2025/26
FIN04654,Oscar,Toure,2002-01-28,H,9250,N,Paid,Inactive,2025/26
FIN04655,Ella,Wood,2000-06-04,H,9250,N,Paid,Enrolled,2025/26
FIN04656,Ibrahim,McCarthy,1993-01-15,O,18000,N,Paid,Enrolled,2025/26
FIN04657,Charlie,Hussein,2004-02-14,H,9250,Y,Paid,Inactive,2025/26
FIN04658,Ava,Fontana,1996-03-23,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04659,Max,Ricci,2006-05-12,H,9250,N,Paid,Enrolled,2025/26
FIN04660,Naomi,Price,1990-09-21,O,15000,Y,Partial,Enrolled,2025/26
FIN04661,Muhammad,Stewart,2002-08-13,O,21000,N,Paid,Enrolled,2025/26
FIN04662,William,Larsen,2006-10-21,H,9250,N,Paid,Enrolled,2025/26
FIN04663,Sebastian,Fontana,2003-09-17,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04664,Mason,Doherty,2003-07-31,H,9250,N,Paid,Enrolled,2025/26
FIN04665,Muhammad,Nielsen,1993-12-11,H,9250,N,Partial,Enrolled,2025/26
FIN04666,Aoife,Asante,2005-10-04,H,9250,N,Partial,Enrolled,2025/26
FIN04667,Rosa,Martin,1992-05-31,H,9250,Y,Partial,Enrolled,2025/26
FIN04668,Kate,Diallo,2000-05-03,O,21000,N,Paid,Enrolled,2025/26
FIN04669,Harriet,Abdi,2000-11-04,H,21000,N,Partial,Inactive,2025/26
FIN04670,Amber,Patel,2004-04-07,H,9250,N,Partial,Suspended,2025/26
FIN04671,Clara,Romano,2007-06-01,H,9250,N,Paid,Enrolled,2025/26
FIN04672,Ethan,Rahman,1994-03-22,H,9250,N,Paid,Enrolled,2025/26
FIN04673,Ethan,Robinson,1997-05-16,H,9250,N,Paid,Enrolled,2025/26
FIN04674,Naomi,Chen,2004-08-06,H,9250,Y,Paid,Enrolled,2025/26
FIN04675,Eleanor,Ali,2007-01-21,H,9250,N,Partial,Enrolled,2025/26
FIN04676,Jack,Park,1992-02-01,H,9250,N,Paid,Enrolled,2025/26
FIN04677,George,Ricci,1999-05-22,H,9250,N,Paid,Enrolled,2025/26
FIN04678,Leon,Rahman,1998-12-25,H,9250,N,Paid,Inactive,2025/26
FIN04679,Aisha,Hussein,2001-05-26,H,9250,N,Paid,Enrolled,2025/26
FIN04680,Harriet,Smith,1991-06-12,H,9250,Y,Paid,Suspended,2025/26
FIN04681,Verity,Brooks,1991-06-30,O,9250,N,Outstanding,Enrolled,2025/26
FIN04682,Niall,Turner,1994-08-17,H,9250,N,Partial,Enrolled,2025/26
FIN04683,Theo,Price,1994-11-03,H,9250,N,Outstanding,Enrolled,2025/26
FIN04684,Clara,Davies,2003-12-11,H,9250,N,Paid,Enrolled,2025/26
FIN04685,Millie,Farah,2000-07-21,H,9250,N,Paid,Enrolled,2025/26
FIN04686,Niall,Edwards,1994-04-23,H,9250,Y,Paid,Deferred,2025/26
FIN04687,Joseph,Shaw,1999-08-14,H,9250,N,Outstanding,Inactive,2025/26
FIN04688,Kai,O'Brien,2000-02-27,H,9250,Y,Paid,Enrolled,2025/26
FIN04689,Tariq,Ng,1990-08-24,H,9250,N,Outstanding,Enrolled,2025/26
FIN04690,Naomi,Walker,2000-09-22,H,9250,N,Partial,Enrolled,2025/26
FIN04691,Rhys,Mahmood,2005-07-13,H,9250,N,Partial,Enrolled,2025/26
FIN04692,Patrick,James,1993-01-19,O,21000,Y,Paid,Inactive,2025/26
FIN04693,Marcus,Conti,1992-09-18,H,9250,N,Partial,Deferred,2025/26
FIN04694,Claudia,Toure,2000-09-27,O,15000,N,Partial,Enrolled,2025/26
FIN04695,Maya,Eriksson,2004-09-25,O,18000,N,Paid,Enrolled,2025/26
FIN04696,Luke,Williams,1995-01-29,O,15000,N,Partial,Inactive,2025/26
FIN04697,Thomas,Ibrahim,2005-11-06,O,24000,N,Outstanding,Enrolled,2025/26
FIN04698,Rohan,Clarke,1996-08-03,H,9250,N,Paid,Enrolled,2025/26
FIN04699,Rosa,Murray,1990-04-02,O,15000,N,Paid,Enrolled,2025/26
FIN04700,Yasmin,Ibrahim,2005-11-04,H,9250,N,Partial,Enrolled,2025/26
FIN04701,Siobhan,Cooper,1994-01-16,H,9250,N,Partial,Enrolled,2025/26
FIN04702,Sebastian,Fontana,1996-11-08,O,21000,N,Paid,Enrolled,2025/26
FIN04703,Layla,Howard,1992-12-22,H,9250,N,Partial,Enrolled,2025/26
FIN04704,Dominic,Wong,2004-08-03,H,9250,N,Partial,Enrolled,2025/26
FIN04705,Oliver,Jackson,1993-11-07,O,24000,N,Paid,Enrolled,2025/26
FIN04706,James,Morgan,2004-06-30,O,21000,N,Paid,Enrolled,2025/26
FIN04707,Leah,Thompson,1993-10-30,H,9250,N,Paid,Inactive,2025/26
FIN04708,Joshua,Flynn,2006-06-26,H,9250,N,Outstanding,Enrolled,2025/26
FIN04709,Nadia,Walker,1996-01-24,H,9250,N,Outstanding,Inactive,2025/26
FIN04710,Amber,Begum,1992-02-10,H,9250,N,Partial,Suspended,2025/26
FIN04711,Ibrahim,Collins,2005-06-09,H,9250,N,Outstanding,Enrolled,2025/26
FIN04712,Rhys,Petersen,2003-11-01,H,9250,N,Paid,Suspended,2025/26
FIN04713,Amelia,Brown,2001-10-12,O,18000,N,Paid,Suspended,2025/26
FIN04714,Omar,Abdi,2007-10-06,H,9250,N,Outstanding,Enrolled,2025/26
FIN04715,Claudia,Ahmed,2006-03-11,O,15000,N,Paid,Enrolled,2025/26
FIN04716,Dominic,Eriksson,1995-02-24,H,9250,N,Paid,Enrolled,2025/26
FIN04717,Amelia,Cox,1991-05-18,O,18000,Y,Outstanding,Enrolled,2025/26
FIN04718,Anna,Cooper,1999-03-28,H,9250,N,Paid,Enrolled,2025/26
FIN04719,Jasmine,Taylor,2005-02-10,H,9250,N,Paid,Enrolled,2025/26
FIN04720,Kate,Okafor,1995-07-06,O,24000,N,Paid,Enrolled,2025/26
FIN04721,James,Walsh,1994-02-23,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04722,Jude,Islam,2006-06-14,O,21000,N,Outstanding,Enrolled,2025/26
FIN04723,Chloe,Mahmood,1995-04-07,H,9250,Y,Paid,Suspended,2025/26
FIN04724,Siobhan,Ndiaye,1999-09-25,H,9250,N,Outstanding,Enrolled,2025/26
FIN04725,Tariq,Thomas,1997-01-05,O,18000,N,Partial,Enrolled,2025/26
FIN04726,Max,Park,1996-12-02,H,9250,N,Paid,Enrolled,2025/26
FIN04727,Dylan,Fontana,1990-04-29,H,9250,N,Paid,Enrolled,2025/26
FIN04728,Daniel,Esposito,1992-02-11,H,9250,Y,Paid,Enrolled,2025/26
FIN04729,Hugo,Kim,2002-03-17,H,9250,N,Paid,Enrolled,2025/26
FIN04730,Felix,Hussein,1992-03-29,H,9250,N,Paid,Enrolled,2025/26
FIN04731,Sarah,Ibrahim,2004-07-21,O,21000,N,Paid,Inactive,2025/26
FIN04732,Sebastian,Jama,2007-09-28,H,9250,N,Outstanding,Enrolled,2025/26
FIN04733,Muhammad,Bianchi,1996-12-14,H,9250,N,Paid,Inactive,2025/26
FIN04734,Roisin,Thomas,1996-07-05,H,9250,N,Partial,Enrolled,2025/26
FIN04735,Owen,Mancini,1996-01-09,H,9250,N,Paid,Enrolled,2025/26
FIN04736,Aiden,Lam,1993-10-09,H,9250,N,Paid,Enrolled,2025/26
FIN04737,Theo,White,1996-08-26,O,21000,N,Outstanding,Enrolled,2025/26
FIN04738,Elliot,Eriksson,2007-01-24,O,18000,Y,Paid,Enrolled,2025/26
FIN04739,Rhys,Morgan,2002-05-26,H,9250,N,Outstanding,Enrolled,2025/26
FIN04740,Molly,Doherty,1996-01-27,H,9250,N,Outstanding,Enrolled,2025/26
FIN04741,Rory,Cheung,1993-06-26,O,18000,N,Partial,Enrolled,2025/26
FIN04742,Chloe,Ryan,2005-01-05,O,24000,N,Paid,Enrolled,2025/26
FIN04743,Ella,Fontana,2004-12-26,H,9250,N,Outstanding,Enrolled,2025/26
FIN04744,Samuel,Yip,1990-09-10,H,9250,N,Paid,Suspended,2025/26
FIN04745,Millie,Andersson,1993-07-12,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04746,Toby,Davies,2005-07-19,O,15000,N,Paid,Enrolled,2025/26
FIN04747,Evie,Yip,1996-04-08,H,9250,N,Paid,Enrolled,2025/26
FIN04748,Pippa,Yip,1995-06-28,H,9250,N,Partial,Enrolled,2025/26
FIN04749,Arjun,Ibrahim,2006-11-29,H,9250,Y,Paid,Enrolled,2025/26
FIN04750,Theo,Greco,1998-04-02,H,9250,N,Partial,Suspended,2025/26
FIN04751,Omar,Smith,1990-03-01,O,24000,N,Paid,Enrolled,2025/26
FIN04752,Benjamin,Hassan,2005-08-25,O,18000,N,Paid,Enrolled,2025/26
FIN04753,Cameron,Mahmood,2003-06-24,H,9250,N,Paid,Enrolled,2025/26
FIN04754,Isla,Kumar,1996-11-25,H,9250,N,Paid,Enrolled,2025/26
FIN04755,Layla,Toure,1999-11-08,H,9250,N,Paid,Enrolled,2025/26
FIN04756,Mia,Murphy,1999-03-24,H,9250,N,Paid,Suspended,2025/26
FIN04757,Ruth,Jackson,1997-11-15,H,9250,N,Partial,Enrolled,2025/26
FIN04758,Isla,Walker,2005-09-26,O,21000,N,Paid,Inactive,2025/26
FIN04759,Zoe,Ward,1992-01-15,H,9250,N,Paid,Enrolled,2025/26
FIN04760,Sophie,Johnson,1992-08-24,H,9250,N,Paid,Enrolled,2025/26
FIN04761,Elliot,Shah,2004-12-27,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04762,Theo,Ward,2006-07-03,O,18000,N,Outstanding,Enrolled,2025/26
FIN04763,Alice,Rahman,2001-07-18,O,18000,N,Outstanding,Enrolled,2025/26
FIN04764,Clara,Lam,1999-07-21,H,9250,N,Paid,Inactive,2025/26
FIN04765,Oliver,Ndiaye,2004-09-29,O,18000,N,Paid,Enrolled,2025/26
FIN04766,Luke,Robinson,1991-06-18,H,9250,Y,Paid,Enrolled,2025/26
FIN04767,Thomas,Okafor,1997-07-18,H,9250,N,Outstanding,Enrolled,2025/26
FIN04768,Mason,Singh,1999-05-06,H,9250,N,Paid,Inactive,2025/26
FIN04769,Amelia,Diop,1996-02-23,O,24000,N,Paid,Inactive,2025/26
FIN04770,Ali,Shaw,1990-03-08,H,9250,N,Partial,Enrolled,2025/26
FIN04771,Laura,Brady,2003-09-29,H,9250,N,Partial,Enrolled,2025/26
FIN04772,Zara,Turner,2002-12-02,H,9250,N,Partial,Enrolled,2025/26
FIN04773,Erin,Farah,1996-05-23,H,9250,N,Paid,Enrolled,2025/26
FIN04774,Patrick,Hussain,1992-04-24,O,18000,N,Paid,Enrolled,2025/26
FIN04775,Ali,Andersson,1996-12-05,H,9250,Y,Paid,Enrolled,2025/26
FIN04776,Seren,Campbell,2001-02-06,H,9250,N,Paid,Inactive,2025/26
FIN04777,Verity,Morgan,1997-11-19,H,9250,Y,Paid,Enrolled,2025/26
FIN04778,Emily,Yip,1994-04-26,O,18000,N,Paid,Enrolled,2025/26
FIN04779,Connor,Begum,2003-12-06,H,9250,N,Paid,Enrolled,2025/26
FIN04780,Sophia,Flynn,2002-02-03,H,9250,N,Outstanding,Enrolled,2025/26
FIN04781,Lucas,Larsen,2003-11-28,O,18000,N,Paid,Suspended,2025/26
FIN04782,Poppy,Cheung,2005-11-07,H,9250,Y,Outstanding,Enrolled,2025/26
FIN04783,Molly,Brady,1991-06-17,O,15000,N,Partial,Enrolled,2025/26
